pgn_aptkira_dinner | [pname_kira[0]], неожиданно тебя видеть с нами за ужином, что-то случилось? Плохое или хорошее? | [pname_kira[0]], suddenly you see us at dinner, something happened? Bad or good?
pgn_aptkira_dinner | [pname_max[0]], останься пожалуйста, нужно поговорить. | [pname_max[0]], please stay and talk.
pgn_aptkira_pornbonus | Отдыхаешь? | Are you resting?
pgn_aptkira_pornbonus | Да. Твоя сестра очень вкусно готовит. Так наелась, что и двигаться не могу. | Yeah. Your sister's a delicious cook. I'm so full, I can't move.
pgn_aptkira_pornbonus | Да. Твоя мама очень вкусно готовит. Так наелась, что и двигаться не могу. | Yeah. Your mom's a delicious cook. I'm so full, I can't move.
pgn_aptkira_pornbonus | [pname_max[0]], мне нужно тебе сообщить ещё одну хорошую новость. | [pname_max[0]], I need to give you once more some good news.
pgn_aptkira_pornbonus | Я тебе как-то говорила уже, что ты сейчас не можешь иметь контракт со студией. Поэтому не можешь получать проценты с продаж. Но я всё же поговорила с руководством и теперь я официально твой агент. И т.к. ты желаешь оставаться анонимным... | I once told you that you can’t have a contract with the studio at the moment. Therefore you cannot receive a percentage from sales. But I talked to the management and now I'm officially your agent. And since You wish to remain anonymous ...
pgn_aptkira_pornbonus | Анонимным!? | Anonymous?
pgn_aptkira_pornbonus | [pname_max[0]], ты уже забыл? Что будет, если узнают, что [pname_mom[7]] твоя настоящая Мама? | [pname_max[0]], have you forgotten? What will happen if they find out that [pname_mom[7]] is your real mom?
pgn_aptkira_pornbonus | Ах, да, точно. | Oh, yeah, right.
pgn_aptkira_pornbonus | Ну так вот, раз ты, мой клиент, и желаешь оставаться анонимным, то ты можешь получать максимум 10%% от максимальной оплаты за съёмку в фильме. | Well, since you are my client, and want to stay anonymous, you can get a maximum of 10%% of the maximum film fee.
pgn_aptkira_pornbonus | Т.е. если снялся успешно несколько раз в первом фильме, то максимум можешь получать по 50$ в неделю, если ещё успешно снимешься в 6 или 7, то дополнительно ещё 60$. | That is, if you've done it successfully several times in the first film, you can get a maximum of $50 a week, if you're still doing it successfully at 6 or 7, you can get another $60.
pgn_aptkira_pornbonus | Круто! | Cool!
pgn_aptkira_pornbonus | Но это только если в этих и других фильмах будешь говорить все правильные реплики, а не что придёт в голову. | But that's only if you say all the right things in these and other movies, not what comes to mind.
pgn_aptkira_pornbonus | Понял. | Got it.
pgn_aptkira_pornbonus | Не хочешь проводить свою любимую тётю до её новой квартиры? | Don't you want to walk your beloved aunt to her new apartment?
pgn_aptkira_pornbonus | Отлично. Тогда одевайся. Я вызвала такси. | Great. Then get dressed. I have called a cab.
pgn_aptkira_pornbonus | Прости, сегодня не могу. | I'm sorry, I can't today.
pgn_aptkira_pornbonus | Ладно. Тогда может в другой день. | Okay. Then maybe another day.
pgn_aptkira_hotel_ivent01 | Где это мы? | Where are we?
pgn_aptkira_hotel_ivent01 | {i}Тётя [pname_kira[0]] совсем не стыдится своего тело.{/i} | {i}Aunt [pname_kira[0]] is not ashamed of her body at all.{/i}
pgn_aptkira_hotel_ivent01 | {i}Короткая юбка и совсем без трусиков.{/i} | {i}Short skirt and no panties at all.{/i}
pgn_aptkira_hotel_ivent01 | А что мы делаем в отеле? | What are we doing at the hotel?
pgn_aptkira_hotel_ivent01 | Сядь на диван и подожди меня. | Sit on the couch and wait for me.
pgn_aptkira_hotel_ivent01 | Здравствуйте. Чем я могу вам помочь? | Hello. How can I help you?
pgn_aptkira_hotel_ivent01 | Здравствуйте. Компания, в которой я работаю, приобрела на моё имя квартиру в вашем отеле. | Hello. The company I work for bought an apartment in your hotel in my name.
pgn_aptkira_hotel_ivent01 | Назовите ваше имя. | Give me your name.
pgn_aptkira_hotel_ivent01 | [pname_kira[0]]. | [pname_kira[0]].
pgn_aptkira_hotel_ivent01 | Хорошо. Сейчас посмотрим... Так... | Okay. Let's see... Okay, um...
pgn_aptkira_hotel_ivent01 | Да, Мисс [pname_kira[0]], на ваше имя была приобретена квартира на предпоследнем этаже. | Yes, Miss [pname_kira[0]], a flat on the penultimate floor has been purchased in your name.
pgn_aptkira_hotel_ivent01 | Можно вас о кое-чём попросить? | Can I ask you something?
pgn_aptkira_hotel_ivent01 | Конечно. Внимательно слушаю. | Of course. I'm listening carefully.
pgn_aptkira_hotel_ivent01 | {i}Хм... шикарный холл для отеля. Только не видно никого из работников, кроме администратора. Даже носильщика нет.{/i} | {i}Um... posh hotel lounge. Just can't see any of the employees except the receptionist. Not even a porter.{/i}
pgn_aptkira_hotel_ivent01 | {i}Что-то она долго.{/i} | {i}She's taking a long time.{/i}
pgn_aptkira_hotel_ivent01 | [pname_max[0]]... [pname_max[7]]!!! | [pname_max[0]]... [pname_max[7]]!!!
pgn_aptkira_hotel_ivent01 | О! | Wow!
pgn_aptkira_hotel_ivent01 | Что это? Ключи? | What is it? Keys?
pgn_aptkira_hotel_ivent01 | Да. Раз ты и вся семья помогали мне и приютили, будет честно, если этой квартирой сможете тоже пользоваться. | Yes. Since you and the whole family helped me and took me in, it would be only fair that you could use this apartment too.
pgn_aptkira_hotel_ivent01 | Спасибо. | Thank you.
pgn_aptkira_hotel_ivent01 | Вставай, пошли. Посмотрим на мою... нашу новую квартиру. | Get up, let's go. Let's look at my... our new apartment.
pgn_aptkira_hotel_ivent01 | Какой этаж? | What floor?
pgn_aptkira_hotel_ivent01 | Предпоследний. | The penultimate.
pgn_aptkira_hotel_ivent02 | Ух ты! | Wow!
pgn_aptkira_hotel_ivent02 | Ну что ты встал, проходи, будь как дома, осмотрись. | Well, come on in, make yourself at home, look around.
pgn_aptkira_hotel_ivent02 | Мм... просторно, душевая и небольшая ванная. | Mm... spacious, shower room and a small bathroom.
pgn_aptkira_hotel_ivent02 | Гостиная, тоже не плохая. Большой диван, да и хороший вид из окна. | Living room, not bad either. Big sofa, and a nice view from the window.
pgn_aptkira_hotel_ivent02 | Хм... интересные картины. А там что за дверью. | Um... interesting paintings. And there's something behind the door.
pgn_aptkira_hotel_ivent02 | Странно. Заперто. [pname_kira[0]], здесь дверь заперта! | Weird. It's locked. [pname_kira[0]], the door is locked here!
pgn_aptkira_hotel_ivent02 | Точно, заперто. Теперь ясно, почему она упомянула, что квартира ещё не до конца готова. | Right, locked. Now it's clear why she mentioned that the apartment isn't ready yet.
pgn_aptkira_hotel_ivent02 | А что там? | What's in there?
pgn_aptkira_hotel_ivent02 | Не знаю. Может студия готовит какую-то особую комнату. Домашний кинотеатр или большой гардероб для всех моих вещей и тех что буду покупать в большом количестве... даже и не знаю. | I don't know. Maybe the studio is preparing some special room. A home theater or a large wardrobe for all my things and those I'll buy in large quantities... I don't know.
pgn_aptkira_hotel_ivent02 | Давай посмотрим, что у нас за другой дверью. | Let's see what's behind the other door.
pgn_aptkira_hotel_ivent02 | Понятное дело, что спальня. | It's obvious that the bedroom.
pgn_aptkira_hotel_ivent02 | Моя спальня и моя личная кровать... как мягко... Аххх..... | My bedroom and my private bed... how softly... Ahhhhhhhhh...
pgn_aptkira_hotel_ivent02 | Не хочешь остаться и посмотреть со мной какие-нибудь фильмы? | Don't you want to stay and watch some movies with me?
pgn_aptkira_hotel_ivent02 | Конечно хочу. | Of course I do.
pgn_aptkira_hotel_ivent02 | Тогда беги в ванную, а то за весь день наверное сильно запылился. А после я тогда. | Then run to the bathroom, because you must have been very dusty all day. And after that, I will.
pgn_aptkira_hotel_ivent02 | А может вместе? | How about together?
pgn_aptkira_hotel_ivent02 | Не сейчас. Хорошо? | Not now. Okay?
pgn_aptkira_hotel_ivent02 | {i}Жаль. А тот тут много места для нас двоих. Ладно, нет, так нет.{/i} | {i}pity. And it's got plenty of room for the two of us here. Okay, no, that's not it.{/i}
pgn_aptkira_hotel_ivent02 | Аааа!!! | Aaaahhh!!!
pgn_aptkira_hotel_ivent02 | Хахаха... [pname_max[0]], ну ты чего так испугался. | Hahahaha... [pname_max[0]], why are you so scared?
pgn_aptkira_hotel_ivent02 | Это было очень неожиданно. | It was very unexpected.
pgn_aptkira_hotel_ivent02 | Ты передумала, вместе здесь... помоемся? | You changed your mind, together here... Wash up?
pgn_aptkira_hotel_ivent02 | Нет, не передумала, просто кто-то тут, как девочка долго моется. Давай, освобождай и включи что-нибудь интересное. | No, I haven't changed my mind, it's just that somebody's been here like a girl for a long time. Come on, come out and turn on something interesting on TV.
pgn_aptkira_hotel_ivent02 | Ладно. | Okay.
pgn_aptkira_hotel_ivent02 | {i}Так много выбора, что даже и не знаю, что смотреть.{/i} | {i}So many choices, I don't even know what to watch.{/i}
pgn_aptkira_hotel_ivent02 | {i}Что она там так долго!?{/i} | {i} What's taking her so long?{/i}
pgn_aptkira_hotel_ivent02 | Я всё. Пришлось немного задержаться. Ну ты понимаешь, что нам, девушкам, нужно больше времени проводить в ванной. | I'm done. I had to stay a little longer. Well, you know, we girls need to spend more time in the bathroom.
pgn_aptkira_hotel_ivent02 | Всё нормально. | It's okay.
pgn_aptkira_hotel_ivent03 | Займёмся сексом? | Shall we have sex?
pgn_aptkira_hotel_ivent03 | Да, идём в спальню. | Yeah, let's go to the bedroom.
pgn_aptkira_hotel_ivent03 | Я готов. | I'm ready to go.
pgn_aptkira_hotel_ivent03 | Вижу. Но перед тем как начнём, я должна увлажнить твой большой инструмент. | I see. But before we begin, I have to moisturise your big tool.
pgn_aptkira_hotel_ivent03 | {i}Прям уж так это нужно, сама наверное от предвкушения давно вся мокрая, просто соскучилась по чему-то большому во рту.{/i} | {i}I don't think it's necessary, probably she wet for a long time, just want something big in my mouth.{/i}
pgn_aptkira_hotel_ivent03 | О да... О... О... | Oh, yeah... О... О...
pgn_aptkira_hotel_ivent03 | {i}Как же хорошо она сосёт... Продержусь ли я так.{/i} | {i} How well she sucks... Will I hold on like this.{/i}
pgn_aptkira_hotel_ivent03 | Отлично! Теперь трахни меня в киску! | Great! Now fuck me in the pussy!
pgn_aptkira_hotel_ivent03 | С удовольствием. | With pleasure.
pgn_aptkira_hotel_ivent03 | Да... Да.. [pname_max[0]]... Аххх... | Yes... Yes.. [pname_max[0]]... Ahhhhh...
pgn_aptkira_hotel_ivent03 | Глубже мой сладенький... Аххх... Ааааххх... | Deeper my sweet... Ahhhhh... Aaaahhhhh...
pgn_aptkira_hotel_ivent03 | Стараюсь, как могу. | I'm doing my best.
pgn_aptkira_hotel_ivent03 | Только не смей кончать, моя попка нуждается в твоём могучем инструменте. | Don't you dare cum, my ass needs your powerful tool.
pgn_aptkira_hotel_ivent03 | Хорошо. | Okay.
pgn_aptkira_hotel_ivent03 | Тебе там удобно? | Are you comfortable?
pgn_aptkira_hotel_ivent03 | Пойдёт. | Fine.
pgn_aptkira_hotel_ivent03 | Не торопись... вот так... хорошо... Мммм... | Take your time... Yeah, um... that's good... Mmm...
pgn_aptkira_hotel_ivent03 | Ахх, [pname_max[0]]... ускорься и давай глубже... Засади своей тёте по самые... | Ahh, [pname_max[0]]... you're gonna have to speed up and go deeper... Put your aunt in the middle of...
pgn_aptkira_hotel_ivent03 | {i}Чёрт! Я уже еле-еле сдерживаюсь...{/i} | {i}Shit! I can barely hold back...{/i}
pgn_aptkira_hotel_ivent03 | Аргх... Аааа.... | Argh... Ahhhhhh...
pgn_aptkira_hotel_ivent03 | Тётя, ты супер! | Auntie, you're great!
pgn_aptkira_hotel_ivent03 | Ох, чтобы мы вытворяли, если бы встретила тебя ещё раньше, чем бы только не занимались. Ты молодец, [pname_max[0]]! | Oh, what would we do if we met you before we did. You're doing great, [pname_max[0]]!
pgn_aptkira_hotel_ivent03 | Я в душ, потом спать. | I'm gonna take a shower, then go to sleep.
pgn_aptkira_hotel_ivent03 | Ок. | Okay.
pgn_aptkira_hotel_ivent_end | {i}Ммм... уже утро... Ох... попка тёти так близка... горячая и сексуальная... Ой!{/i} | {i}Mmm... it's morning... Oh, uh... my aunt's ass is so close... hot and sexy... Oh! {/i}
pgn_aptkira_hotel_ivent_end | [pname_max[0]], уже проснулся? Не хотела тебя будить, думала ты всё ещё спишь. | [pname_max[0]], are you awake? I didn't want to wake you, I thought you were still asleep.
pgn_aptkira_hotel_ivent_end | Может? | Maybe?
pgn_aptkira_hotel_ivent_end | Как бы я ни хотела, но нам нужно вставать и успеть к завтраку, а то твоя мама будет ругать. | As much as I'd like to do a morning fuck, but we have to get up and return on time for breakfast, or your mother will scold us.
pgn_aptkira_hotel_ivent_end | Ладно. | Okay.
pgn_aptkira_hotel_ivent_end | Где вы двое были? | Where have you two been?
pgn_aptkira_hotel_ivent_end | А... я проводил Тётю [pname_kira[3]] до её квартиры... | Ah... I walked Auntie [pname_kira[3]] to her apartment...
pgn_aptkira_hotel_ivent_end | [pname_mom[6]], квартира отличная. Посмотрели фильм, но было уже слишком поздно, так что остались там на ночь. | [pname_mom[6]], the apartment is nice. We watched the movie, but it was too late, so we stayed overnight.
pgn_aptkira_hotel_ivent_end | Ясно. | Okay.
pgn_aptkira_hotel_ivent_end | Тёть [pname_kira[6]], а ты теперь там будешь жить? | Aunt [pname_kira[6]], and now you're gonna live there?
pgn_aptkira_hotel_ivent_end | Никуда я от вас не уеду мои любимые, с вами куда интересней, чем быть одной в большой квартире. | I'm not going anywhere with my loved ones, it's more interesting to be alone in a big apartment.
pgn_aptkira_max_scouter | Ну так что, [pname_max[0]], готов, увидеть свой подарок? | So, [pname_max[0]], ready to see your present?
pgn_aptkira_max_scouter | Он ждет не дождется этого с вечера. | He's not expecting this from tonight.
pgn_aptkira_max_scouter | Да. | Yes.
pgn_aptkira_max_scouter | Тогда оденьтесь и пойдем на улицу. | Then get dressed and go outside.
pgn_aptkira_max_scouter | Вау!!! Это скутер!!! | Wow! It's a scooter!
pgn_aptkira_max_scouter | Теперь у тебя есть свой транспорт и не ожидая на остановках общественный, езди куда и когда захочется. | Now you have your own transport and don't have to wait at public stops, go wherever and whenever you want.
pgn_aptkira_max_scouter | Он наверное дорогой. | He must be expensive.
pgn_aptkira_max_scouter | [pname_mom[6]], да брось ты. [pname_max[0]] это заслужил. И скутеры не так дорого стоят. | [pname_mom[6]], come on. [pname_max[0]] deserves it. And scooters don't cost that much.
pgn_aptkira_max_scouter | А что он такого сделал, что получил такой подарок? | What did he do to get such a gift?
pgn_aptkira_max_scouter | Я... эм... с некоторой работой не могу управиться, поэтому прошу помочь [pname_max[1]]. В моей работе [pname_max[0]] занимает важную роль. | I... um... can't manage some work, so please help [pname_max[1]]. In my work [pname_max[0]] plays an important role.
pgn_aptkira_max_scouter | Прокатишь сестренку? | Will you give your sister a ride?
pgn_aptkira_max_scouter | Может быть... Мне хотя бы привыкнуть и научиться хорошо ездить, тогда и прокачу. | Maybe... I'll at least get used to it and learn to ride well, then I'll take a ride.
pgn_aptkira_max_scouter | Только не разгоняйся сильно, езди аккуратно. А шлем у тебя есть? | Just don't go too fast, drive carefully. Do you have a helmet?
pgn_aptkira_max_scouter | Ой, забыла купить. | Oh, I forgot to buy.
pgn_aptkira_max_scouter | Эм... У меня есть кое-что в моей комнате. Сейчас, приду... | Um... I have something in my room. I'll be right there...
pgn_aptkira_max_scouter | Вот! Ну как? | Here! How's it going?
pgn_aptkira_max_scouter | [pname_max[0]]... | [pname_max[0]]...
pgn_aptkira_max_scouter | Что?! | What?!
pgn_aptkira_max_scouter | А он защитит твою и так испорченную голову? | Will he protect your already damaged head?
pgn_aptkira_max_scouter | Пока не будет у него нормального шлема, это пойдет. Так что езди осторожно. Не заставляй свою маму сильно волноваться. | Until he has a normal helmet, that's fine. So drive carefully. Don't make your mother worry too much.
pgn_aptkira_max_scouter | Хорошо. Спасибо тебе большое, Тёть [pname_kira[6]]. | Okay. Thank you so much, Aunt [pname_kira[6]].
pgn_hotel_aptkira_sex_kira | Напоминать думаю не нужно? | I don't think we need to remind you?
pgn_hotel_aptkira_sex_kira | Да, я понял. Сначала в душ, а всё остальное потом. | Yeah, I get it. First in the shower, and then everything else.
pgn_hotel_aptkira_sex_kira | Умница. | Well done.
pgn_hotel_aptkira_sex_kira_next | Вот и я. Для разогрева хотела бы посмотреть романтический фильм. Если ты конечно не против. | Here I am. I'd like to watch a romantic movie to warm up. Unless, of course, you don't mind.
pgn_hotel_aptkira_sex_kira_next | Если ты так этого хочешь, ладно. | If that's what you want, okay.
pgn_hotel_aptkira_sex_kira_next | {i}Хех... кто-то уже готов для продолжения.{/i} | {i}Heh... someone's ready to go on.{/i}
pgn_hotel_aptkira_sex_kira_next | Чего хочется моему любимому племяннику? Может быть хочешь минета или перейдем в спальню? | What does my beloved nephew want? Would you like a blow job or would you like to go to the bedroom?
pgn_hotel_aptkira_sex_kira_next | Иди за мной. | Follow me.
pgn_hotel_aptkira_sex_kira_next | Тогда... | Then...
pgn_hotel_aptkira_sex_kira_bj | Только я не просто минет хочу. | Except I don't just want a blow job.
pgn_hotel_aptkira_sex_kira_bj | Да? А чего тебе хочется? | Yes? What do you want?
pgn_hotel_aptkira_sex_kira_bj | Хочу трахнуть твоё горло. | I want to fuck your throat.
pgn_hotel_aptkira_sex_kira_bj | Мммм... Я не против. | Mm-hmm. I don't mind.
pgn_hotel_aptkira_sex_kira_bj | {i}Боже! Какая же всё же тётя сексуальная. Хоть бы не кончить сразу от такой красоты.{/i} | {i}god! What a hot aunt, though. I wish I hadn't come straight from the beauty of it.{/i}
pgn_hotel_aptkira_sex_kira_bj | Я начинаю... | I'm starting...
pgn_hotel_aptkira_sex_kira_bj | О да, вот так... ох... {i}У тёти очень глубокая глотка.{/i} | Oh, yeah, like this... Oh, uh... {i}Auntie's throat is very deep.{/i}
pgn_hotel_aptkira_sex_kira_bj | {i}Пора бы и ускориться...{/i} | {i}It's time to speed up...{/i}
pgn_hotel_aptkira_sex_kira_bj | {i}Ещё немного...{/i} | {i}A little more...{/i}
pgn_hotel_aptkira_sex_kira_bj | Ааааххх.... Да... | Aaaahhhh..... Yes...
pgn_hotel_aptkira_sex_kira_bj | Вот это да, [pname_max[0]], ты молодец. | Wow, you're doing great, [pname_max[0]].
pgn_hotel_aptkira_sex_kira_bj | Силы ещё остались? Продолжим в спальне или хочешь уже спать? | Are you still strong? Shall we continue in the bedroom or do you want to go to sleep?
pgn_hotel_aptkira_sex_kira_bj | И так. Куда хочешь трахнуть свою тётю? | Okay, so this is it. Where do you want to fuck your aunt?
pgn_hotel_aptkira_sex_kira_bedroom | Начнём сначала с этого... | Let's start with this first...
pgn_hotel_aptkira_sex_kira_bedroom | {i}Класс...{/i} | {i}Cool...{/i}
pgn_hotel_aptkira_sex_kira_bedroom | Достаточно. Мне не нужно, чтобы ты ещё кончил так рано. | That's enough. I don't need you to come so early.
pgn_hotel_aptkira_sex_kira_bedroom | Так, чего тебе сейчас больше всего хочется? | So, what do you want most right now?
pgn_hotel_aptkira_sex_kira_bedroom | Даже и не знаю. | I don't even know.
pgn_hotel_aptkira_sex_kira_bedroom | Хм... Может хорошенько рассмотришь меня и подумаешь, куда хочешь всунуть своего крепыша. | Hmm... Why don't you take a good look at me and think about where you wanna put your tough tool?
pgn_hotel_aptkira_sex_kira_bedroom_vaginal | Да, вот так, так [pname_max[0]]. Не торопись. | Yeah, that's it, that's it [pname_max[0]]. Take your time.
pgn_hotel_aptkira_sex_kira_bedroom_vaginal | Ммм... | Mmmm...
pgn_hotel_aptkira_sex_kira_bedroom_vaginal | Продолжай... | Keep going...
pgn_hotel_aptkira_sex_kira_bedroom_vaginal | Больше не могу... сейчас кончу... | I can't take it anymore... I'm gonna cuming now...
pgn_hotel_aptkira_sex_kira_bedroom_vaginal | Хотя бы спросил, принимала ли противозачаточные? | Did you at least ask if you were on birth control?
pgn_hotel_aptkira_sex_kira_bedroom_vaginal | Аааа... что делать? | Oh... what to do?
pgn_hotel_aptkira_sex_kira_bedroom_vaginal | Расслабься, я же не дура, знаю, что тебе иногда так и хочется наполнить меня всю. | Relax, I'm not stupid, I know you want to fill me up sometimes.
pgn_hotel_aptkira_sex_kira_bedroom_vaginal | Хорошо. Я в душ, потом спать. | Okay. I'll take a shower, then go to sleep.
pgn_hotel_aptkira_sex_kira_bedroom_vaginal | Ок. | Ок.
pgn_hotel_aptkira_sex_kira_bedroom_vaginal | Аргх... Ааааххх... Чёрт! Да! | Arghh... Aaaahhhh... Damn it! Yes!
pgn_hotel_aptkira_sex_kira_bedroom_vaginal | Всю меня испачкал... Мммм... Я в душ и спать. | It's all dirty on me... Mmm... I took a shower and slept.
pgn_hotel_aptkira_sex_kira_bedroom_anal | Ахххх... Ммм... Какой большой... | Ahhhhhh... Mmm... What a big...
menu_2_pgn_hotel_aptkira_sex_kira_bedroom | Аргх... Аааа.... | Arghh... Ahh...
menu_2_pgn_hotel_aptkira_sex_kira_bedroom | А так надеялась, что продержишься ещё немного | I was hoping you'd hold out a little longer
menu_2_pgn_hotel_aptkira_sex_kira_bedroom | Прости... я... | I'm sorry, uh... я...
menu_2_pgn_hotel_aptkira_sex_kira_bedroom | Не переживай. В душ и спать? | Don't worry about it. Shower and sleep?
menu_2_pgn_hotel_aptkira_sex_kira_bedroom | Да | Yes
menu_2_pgn_hotel_aptkira_sex_kira_bedroom | Аааххх... Ааахх... [pname_max[0]]... Глубже... Ещё глубже.... | Aaahhhhh... Aaahhh... [pname_max[0]]... Deeper... Even deeper....
menu_2_pgn_hotel_aptkira_sex_kira_bedroom | Не останавливайся... глубже мой племянник... Аааххх... | Don't stop... deeper than my nephew... Aaahhhh...
menu_3_pgn_hotel_aptkira_sex_kira_bedroom | Аргхх... Аааа... Аааа... | Arghh... Ahh... Ahh...
menu_3_pgn_hotel_aptkira_sex_kira_bedroom | [pname_max[0]], [pname_max[0]]... | [pname_max[0]], [pname_max[0]]...
menu_3_pgn_hotel_aptkira_sex_kira_bedroom | Ты мой сладенький, выбился из сил и уснул. | You're my sweetie, you're exhausted and asleep.
pgn_hotel_aptkira_sex_sleep_01 | [pname_max[0]], пора уже вставать. Давай, нужно ехать. | [pname_max[0]], it's time to get up. Come on, let's go.
pgn_hotel_aptkira_sex_sleep_01 | Мам, ещё 5 минут. | Mom, five more minutes.
pgn_hotel_aptkira_sex_sleep_01 | Сейчас за маму получишь. Подъём!!! | You're gonna get it for your mom. Wake up!
pgn_hotel_aptkira_sex_sleep_01 | Да, да... встаю. | Yes, yes... I get up.
pgn_hotel_aptkira_sex_sleep_02 | [pname_max[0]], просыпайся! Одевайся и поехали домой. | [pname_max[0]], wake up! Get dressed and let's go home.
pgn_hotel_aptkira_sex_sleep_02 | {i}Блин, уснул...{/i} | {i}Shit, I fell asleep...{/i}
pgn_aptkira_home_hotel_liza | Блин. Где же они!? | Shit. Where are they?
pgn_aptkira_home_hotel_liza | [pname_max[0]]? | [pname_max[0]]?
pgn_aptkira_home_hotel_liza | [pname_liza[0]], ты не видела мои штаны? | [pname_liza[0]], have you seen my pants?
pgn_aptkira_home_hotel_liza | А можно... ну это... С вами поехать? | Can I, uh... Well, that's... Want to come with you?
pgn_aptkira_home_hotel_liza | Не знаю. Нужно спросить. | I don't know. You have to ask.
pgn_aptkira_home_hotel_liza | Спросишь? | Will you ask?
pgn_aptkira_home_hotel_liza | Где мои штаны? Такси уже скоро приедет. | Where are my pants? A taxi will be here soon.
pgn_aptkira_home_hotel_liza | На кровати лежат. | They're lying on the bed.
pgn_aptkira_home_hotel_liza | Точно. Сразу не увидел. | Yeah, that's right. I didn't see it at once.
pgn_aptkira_home_hotel_liza | Ну так, ты спросишь у неё? Можно ли мне с вами. | So you're gonna ask her? Can I come with you?
pgn_aptkira_home_hotel_liza | В другой раз, [pname_liza[0]], в другой раз. | Another time, [pname_liza[0]], another time.
pgn_aptkira_home_hotel_liza | Пожалуйста. Я тоже очень хочу с вами повеселиться. [pname_max[0]]! | You're welcome. I really want to have fun with you too. [pname_max[0]]!
pgn_aptkira_home_hotel_liza | Потом. | Later on.
pgn_kiraaptsex_verandahome_v1 | {i}О! Какая попка.{/i} | {i}О! What a butt.{/i}
menu_1_pgn_kiraaptsex_verandahome_v1 | {i}Медленно и незаметно.{/i} | {i}Slowly and discreetly.{/i}
menu_1_pgn_kiraaptsex_verandahome_v1 | {i}Отличный вид. Сейчас бы её здесь и на столе.{/i} | {i}Nice view. Now it would be here and on the table.{/i}
menu_1_pgn_kiraaptsex_verandahome_v1 | О! Что это такое большое и толстое уперлось в мою попу? | О! What's that big, fat thing stuck in my ass?
menu_1_pgn_kiraaptsex_verandahome_v1 | Этой мой член. | That's my dick.
menu_1_pgn_kiraaptsex_verandahome_v1 | Я так и поняла. В этом доме только у тебя одного есть эта штуковина. | That's what I figured. You're the only one in this house with this thing.
menu_1_pgn_kiraaptsex_verandahome_v1 | Поедешь с любимой тётей? По приезду... помогу тебе. | Will you go with your beloved aunt? On arrival... I will help you.
menu_1_pgn_kiraaptsex_verandahome_v1 | Даже и не знаю, ехать или нет. | I don't know if I should go or not.
menu_1_pgn_kiraaptsex_verandahome_v1 | Уговаривать не буду. Так что решай. | I'm not gonna talk you into it. So decide.
menu_1_pgn_kiraaptsex_verandahome_v1 | Прости, но не сегодня. | I'm sorry, but not today.
menu_1_pgn_kiraaptsex_verandahome_v1 | Жаль. Как хочешь. | It's a pity. Whatever you want.
menu_1_pgn_kiraaptsex_verandahome_v1 | {i}Что она делает?{/i} | {i}What's she doing?{/i}
menu_1_pgn_kiraaptsex_verandahome_v1 | {i}Разминается, как будто готовится к пробежке или типа того.{/i} | {i}Meeting up like he's getting ready for a run or something.{/i}
menu_1_pgn_kiraaptsex_verandahome_v1 | [pname_kira[0]] | [pname_kira[0]]
menu_1_pgn_kiraaptsex_verandahome_v1 | Скорее одевайся и поехали в отель, а то я долго ждать не буду. | Hurry up and get dressed and go to the hotel, or I won't wait long.
menu_1_pgn_kiraaptsex_verandahome_v1 | Я уже не уверен, что хочу ехать. | I'm not sure I want to go anymore.
menu_1_pgn_kiraaptsex_verandahome_v1 | А что так? | Why is that so?
